             z_1            v_z1             z_2            v_z2
 -2.00408411e+03 -9.62802844e+01  7.60827650e+02  3.33955646e+02
 -2.04847552e+03  3.05252153e+01  7.14940020e+02  3.20716002e+02
 -2.08300623e+03  1.54802664e+02  6.65610901e+02  2.91075685e+02
 -2.10751003e+03  2.70057243e+02  6.13077746e+02  2.46640836e+02
 -2.12186896e+03  3.70270774e+02  5.57593435e+02  1.89798884e+02
 -2.12601390e+03  4.50219548e+02  4.99425049e+02  1.23592450e+02
 -2.11992490e+03  5.05750203e+02  4.38852594e+02  5.15586522e+01
 -2.10363127e+03  5.33999068e+02  3.76167645e+02 -2.24577108e+01
 -2.07721144e+03  5.33543394e+02  3.11671947e+02 -9.45072227e+01
 -2.04079259e+03  5.04476484e+02  2.45675961e+02 -1.60744437e+02
 -1.99455002e+03  4.48402758e+02  1.78497371e+02 -2.17630975e+02
 -1.93870634e+03  3.68352998e+02  1.10459553e+02 -2.62122403e+02
 -1.87353036e+03  2.68624283e+02  4.18900185e+01 -2.91829025e+02
 -1.79933581e+03  1.54553022e+02 -2.68811609e+01 -3.05142092e+02
 -1.71647984e+03  3.22331167e+01 -9.55229430e+01 -3.01318773e+02
 -1.62536129e+03 -9.18058936e+01 -1.63704909e+02 -2.80521387e+02
 -1.52641878e+03 -2.10943688e+02 -2.31098852e+02 -2.43808831e+02
 -1.42012859e+03 -3.18818818e+02 -2.97380360e+02 -1.93080661e+02
 -1.30700236e+03 -4.09664683e+02 -3.62230375e+02 -1.30976772e+02
 -1.18758464e+03 -4.78614097e+02 -4.25336731e+02 -6.07379735e+01
 -1.06245028e+03 -5.21956344e+02 -4.86395654e+02  1.39651599e+01
 -9.32201628e+02 -5.37333164e+02 -5.45113226e+02  8.92261473e+01
 -7.97465658e+02 -5.23863304e+02 -6.01206799e+02  1.61108912e+02
 -6.58890948e+02 -4.82189066e+02 -6.54406359e+02  2.25855655e+02
 -5.17144551e+02 -4.14442389e+02 -7.04455818e+02  2.80085317e+02
 -3.72908788e+02 -3.24132256e+02 -7.51114255e+02  3.20972136e+02
 -2.26877963e+02 -2.15959377e+02 -7.94157072e+02  3.46394885e+02
 -7.97550221e+01 -9.55679355e+01 -8.33377074e+02  3.55048893e+02
  6.77518337e+01  3.07525026e+01 -8.68585470e+02  3.46514946e+02
  2.14932554e+02  1.56399154e+02 -8.99612777e+02  3.21281419e+02
  3.61078658e+02  2.74804731e+02 -9.26309640e+02  2.80718480e+02
  5.05486647e+02  3.79784276e+02 -9.48547549e+02  2.27005720e+02
  6.47461387e+02  4.65861805e+02 -9.66219457e+02  1.63017032e+02
  7.86319458e+02  5.28559503e+02 -9.79240299e+02  9.21688253e+01
  9.21392441e+02  5.64634211e+02 -9.87547396e+02  1.82395908e+01
