               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
  1.03000000e+00 -3.05014072e+02 -1.33910961e+02  1.42464189e+03 -3.44072780e+02 -3.44072780e+02 -3.44072780e+02
  1.04000000e+00 -3.08413285e+02 -1.30143364e+02  1.41602791e+03 -3.35739665e+02 -3.35739665e+02 -3.35739665e+02
  1.05000000e+00 -3.11728268e+02 -1.26298064e+02  1.40734574e+03 -3.27227542e+02 -3.27227542e+02 -3.27227542e+02
  1.06000000e+00 -3.14957254e+02 -1.22377019e+02  1.39859580e+03 -3.18540916e+02 -3.18540916e+02 -3.18540916e+02
  1.07000000e+00 -3.18098520e+02 -1.18382225e+02  1.38977851e+03 -3.09684388e+02 -3.09684388e+02 -3.09684388e+02
  1.08000000e+00 -3.21150391e+02 -1.14315719e+02  1.38089429e+03 -3.00662646e+02 -3.00662646e+02 -3.00662646e+02
  1.09000000e+00 -3.24111238e+02 -1.10179575e+02  1.37194357e+03 -2.91480469e+02 -2.91480469e+02 -2.91480469e+02
  1.10000000e+00 -3.26979482e+02 -1.05975904e+02  1.36292678e+03 -2.82142718e+02 -2.82142718e+02 -2.82142718e+02
  1.11000000e+00 -3.29753590e+02 -1.01706853e+02  1.35384437e+03 -2.72654338e+02 -2.72654338e+02 -2.72654338e+02
  1.12000000e+00 -3.32432083e+02 -9.73746038e+01  1.34469675e+03 -2.63020354e+02 -2.63020354e+02 -2.63020354e+02
  1.13000000e+00 -3.35013529e+02 -9.29813718e+01  1.33548439e+03 -2.53245868e+02 -2.53245868e+02 -2.53245868e+02
  1.14000000e+00 -3.37496549e+02 -8.85294045e+01  1.32620771e+03 -2.43336057e+02 -2.43336057e+02 -2.43336057e+02
  1.15000000e+00 -3.39879817e+02 -8.40209808e+01  1.31686716e+03 -2.33296168e+02 -2.33296168e+02 -2.33296168e+02
  1.16000000e+00 -3.42162057e+02 -7.94584093e+01  1.30746320e+03 -2.23131518e+02 -2.23131518e+02 -2.23131518e+02
  1.17000000e+00 -3.44342049e+02 -7.48440277e+01  1.29799628e+03 -2.12847493e+02 -2.12847493e+02 -2.12847493e+02
  1.18000000e+00 -3.46418627e+02 -7.01802008e+01  1.28846685e+03 -2.02449537e+02 -2.02449537e+02 -2.02449537e+02
  1.19000000e+00 -3.48390678e+02 -6.54693199e+01  1.27887538e+03 -1.91943160e+02 -1.91943160e+02 -1.91943160e+02
  1.20000000e+00 -3.50257147e+02 -6.07138012e+01  1.26922232e+03 -1.81333924e+02 -1.81333924e+02 -1.81333924e+02
  1.21000000e+00 -3.52017033e+02 -5.59160845e+01  1.25950814e+03 -1.70627450e+02 -1.70627450e+02 -1.70627450e+02
  1.22000000e+00 -3.53669391e+02 -5.10786322e+01  1.24973330e+03 -1.59829408e+02 -1.59829408e+02 -1.59829408e+02
  1.23000000e+00 -3.55213335e+02 -4.62039276e+01  1.23989829e+03 -1.48945519e+02 -1.48945519e+02 -1.48945519e+02
  1.24000000e+00 -3.56648034e+02 -4.12944739e+01  1.23000356e+03 -1.37981546e+02 -1.37981546e+02 -1.37981546e+02
  1.25000000e+00 -3.57972718e+02 -3.63527926e+01  1.22004961e+03 -1.26943298e+02 -1.26943298e+02 -1.26943298e+02
  1.26000000e+00 -3.59186672e+02 -3.13814225e+01  1.21003690e+03 -1.15836622e+02 -1.15836622e+02 -1.15836622e+02
  1.27000000e+00 -3.60289242e+02 -2.63829180e+01  1.19996592e+03 -1.04667400e+02 -1.04667400e+02 -1.04667400e+02
  1.28000000e+00 -3.61279831e+02 -2.13598480e+01  1.18983716e+03 -9.34415490e+01 -9.34415490e+01 -9.34415490e+01
  1.29000000e+00 -3.62157904e+02 -1.63147943e+01  1.17965109e+03 -8.21650157e+01 -8.21650157e+01 -8.21650157e+01
  1.30000000e+00 -3.62922983e+02 -1.12503506e+01  1.16940822e+03 -7.08437733e+01 -7.08437733e+01 -7.08437733e+01
  1.31000000e+00 -3.63574650e+02 -6.16912072e+00  1.15910904e+03 -5.94838187e+01 -5.94838187e+01 -5.94838187e+01
  1.32000000e+00 -3.64112550e+02 -1.07371747e+00  1.14875404e+03 -4.80911696e+01 -4.80911696e+01 -4.80911696e+01
  1.33000000e+00 -3.64536385e+02  4.03323883e+00  1.13834372e+03 -3.66718609e+01 -3.66718609e+01 -3.66718609e+01
  1.34000000e+00 -3.64845919e+02  9.14912172e+00  1.12787858e+03 -2.52319417e+01 -2.52319417e+01 -2.52319417e+01
  1.35000000e+00 -3.65040975e+02  1.42713000e+01  1.11735913e+03 -1.37774720e+01 -1.37774720e+01 -1.37774720e+01
  1.36000000e+00 -3.65121440e+02  1.93971390e+01  1.10678587e+03 -2.31451944e+00 -2.31451944e+00 -2.31451944e+00
  1.37000000e+00 -3.65087258e+02  2.45240024e+01  1.09615931e+03  9.15084365e+00  9.15084365e+00  9.15084365e+00
  1.38000000e+00 -3.64938435e+02  2.96492530e+01  1.08547997e+03  2.06125438e+01  2.06125438e+01  2.06125438e+01
  1.39000000e+00 -3.64675039e+02  3.47702545e+01  1.07474835e+03  3.20645095e+01  3.20645095e+01  3.20645095e+01
  1.40000000e+00 -3.64297198e+02  3.98843731e+01  1.06396498e+03  4.35006742e+01  4.35006742e+01  4.35006742e+01
  1.41000000e+00 -3.63805099e+02  4.49889783e+01  1.05313037e+03  5.49149800e+01  5.49149800e+01  5.49149800e+01
  1.42000000e+00 -3.63198991e+02  5.00814448e+01  1.04224505e+03  6.63013804e+01  6.63013804e+01  6.63013804e+01
  1.43000000e+00 -3.62479184e+02  5.51591538e+01  1.03130953e+03  7.76538439e+01  7.76538439e+01  7.76538439e+01
  1.44000000e+00 -3.61646047e+02  6.02194941e+01  1.02032435e+03  8.89663567e+01  8.89663567e+01  8.89663567e+01
  1.45000000e+00 -3.60700010e+02  6.52598639e+01  1.00929004e+03  1.00232926e+02  1.00232926e+02  1.00232926e+02
  1.46000000e+00 -3.59641562e+02  7.02776719e+01  9.98207129e+02  1.11447585e+02  1.11447585e+02  1.11447585e+02
  1.47000000e+00 -3.58471251e+02  7.52703388e+01  9.87076144e+02  1.22604392e+02  1.22604392e+02  1.22604392e+02
  1.48000000e+00 -3.57189687e+02  8.02352985e+01  9.75897626e+02  1.33697438e+02  1.33697438e+02  1.33697438e+02
  1.49000000e+00 -3.55797535e+02  8.51699997e+01  9.64672113e+02  1.44720846e+02  1.44720846e+02  1.44720846e+02
  1.50000000e+00 -3.54295521e+02  9.00719071e+01  9.53400145e+02  1.55668777e+02  1.55668777e+02  1.55668777e+02
  1.51000000e+00 -3.52684430e+02  9.49385029e+01  9.42082266e+02  1.66535433e+02  1.66535433e+02  1.66535433e+02
  1.52000000e+00 -3.50965103e+02  9.97672878e+01  9.30719019e+02  1.77315057e+02  1.77315057e+02  1.77315057e+02
  1.53000000e+00 -3.49138438e+02  1.04555783e+02  9.19310953e+02  1.88001940e+02  1.88001940e+02  1.88001940e+02
  1.54000000e+00 -3.47205392e+02  1.09301530e+02  9.07858617e+02  1.98590422e+02  1.98590422e+02  1.98590422e+02
  1.55000000e+00 -3.45166976e+02  1.14002094e+02  8.96362561e+02  2.09074893e+02  2.09074893e+02  2.09074893e+02
