               t             z_1            v_z1
  1.35000000e+01 -1.88331270e+03  1.73116745e+02
  1.36000000e+01 -1.88616715e+03  6.13676928e+01
  1.37000000e+01 -1.87994221e+03 -5.28003706e+01
  1.38000000e+01 -1.86466784e+03 -1.63356550e+02
  1.39000000e+01 -1.84041756e+03 -2.64460811e+02
  1.40000000e+01 -1.80730811e+03 -3.50772411e+02
  1.41000000e+01 -1.76549887e+03 -4.17731965e+02
  1.42000000e+01 -1.71519108e+03 -4.61802244e+02
  1.43000000e+01 -1.65662693e+03 -4.80654983e+02
  1.44000000e+01 -1.59008830e+03 -4.73293845e+02
  1.45000000e+01 -1.51589551e+03 -4.40107041e+02
  1.46000000e+01 -1.43440569e+03 -3.82846821e+02
  1.47000000e+01 -1.34601111e+03 -3.04536931e+02
  1.48000000e+01 -1.25113727e+03 -2.09312910e+02
  1.49000000e+01 -1.15024085e+03 -1.02203683e+02
  1.50000000e+01 -1.04380756e+03  1.11340464e+01
  1.51000000e+01 -9.32349708e+02  1.24714542e+02
  1.52000000e+01 -8.16403830e+02  2.32539168e+02
  1.53000000e+01 -6.96528049e+02  3.28913202e+02
  1.54000000e+01 -5.73299409e+02  4.08746588e+02
  1.55000000e+01 -4.47311091e+02  4.67822764e+02
  1.56000000e+01 -3.19169563e+02  5.03021355e+02
  1.57000000e+01 -1.89491657e+02  5.12482963e+02
  1.58000000e+01 -5.89015992e+01  4.95707372e+02
  1.59000000e+01  7.19719913e+01  4.53579962e+02
  1.60000000e+01  2.02499132e+02  3.88324943e+02
  1.61000000e+01  3.32051507e+02  3.03387889e+02
  1.62000000e+01  4.60005494e+02  2.03253756e+02
  1.63000000e+01  5.85745163e+02  9.32100183e+01
  1.64000000e+01  7.08665245e+02 -2.09325905e+01
  1.65000000e+01  8.28174043e+02 -1.33146960e+02
  1.66000000e+01  9.43696279e+02 -2.37507920e+02
  1.67000000e+01  1.05467587e+03 -3.28505171e+02
  1.68000000e+01  1.16057859e+03 -4.01334301e+02
  1.69000000e+01  1.26089466e+03 -4.52150525e+02
  1.70000000e+01  1.35514119e+03 -4.78271739e+02
  1.71000000e+01  1.44286452e+03 -4.78320170e+02
  1.72000000e+01  1.52364236e+03 -4.52295138e+02
  1.73000000e+01  1.59708588e+03 -4.01573091e+02
  1.74000000e+01  1.66284155e+03 -3.28834902e+02
  1.75000000e+01  1.72059284e+03 -2.37924284e+02
  1.76000000e+01  1.77006175e+03 -1.33644784e+02
  1.77000000e+01  1.81101016e+03 -2.15060866e+01
  1.78000000e+01  1.84324096e+03  9.25669722e+01
  1.79000000e+01  1.86659899e+03  2.02547321e+02
  1.80000000e+01  1.88097182e+03  3.02623965e+02
  1.81000000e+01  1.88629026e+03  3.87508887e+02
  1.82000000e+01  1.88252871e+03  4.52716325e+02
  1.83000000e+01  1.86970528e+03  4.94799684e+02
  1.84000000e+01  1.84788170e+03  5.11533557e+02
  1.85000000e+01  1.81716301e+03  5.02031260e+02
  1.86000000e+01  1.77769709e+03  4.66791655e+02
  1.87000000e+01  1.72967391e+03  4.07672803e+02
  1.88000000e+01  1.67332464e+03  3.27793828e+02
  1.89000000e+01  1.60892054e+03  2.31370184e+02
  1.90000000e+01  1.53677161e+03  1.23491021e+02
  1.91000000e+01  1.45722516e+03  9.85039966e+00
  1.92000000e+01  1.37066410e+03 -1.03553427e+02
  1.93000000e+01  1.27750511e+03 -2.10734807e+02
  1.94000000e+01  1.17819662e+03 -3.06036815e+02
  1.95000000e+01  1.07321668e+03 -3.84430013e+02
  1.96000000e+01  9.63070626e+02 -4.41778072e+02
  1.97000000e+01  8.48288659e+02 -4.75056227e+02
  1.98000000e+01  7.29423306e+02 -4.82511020e+02
  1.99000000e+01  6.07046746e+02 -4.63752907e+02
  2.00000000e+01  4.81748060e+02 -4.19776827e+02
  2.01000000e+01  3.54130395e+02 -3.52909650e+02
  2.02000000e+01  2.24808062e+02 -2.66687285e+02
  2.03000000e+01  9.44035756e+01 -1.65667935e+02
  2.04000000e+01 -3.64553384e+01 -5.51913525e+01
  2.05000000e+01 -1.67138768e+02  5.89031694e+01
  2.06000000e+01 -2.97017646e+02  1.70585197e+02
  2.07000000e+01 -4.25466777e+02  2.73951645e+02
  2.08000000e+01 -5.51867849e+02  3.63538542e+02
  2.09000000e+01 -6.75612407e+02  4.34609601e+02
  2.10000000e+01 -7.96104787e+02  4.83406363e+02
  2.11000000e+01 -9.12764976e+02  5.07346691e+02
  2.12000000e+01 -1.02503141e+03  5.05161140e+02
  2.13000000e+01 -1.13236368e+03  4.76960002e+02
  2.14000000e+01 -1.23424511e+03  4.24227477e+02
  2.15000000e+01 -1.33018529e+03  3.49743284e+02
  2.16000000e+01 -1.41972239e+03  2.57435852e+02
  2.17000000e+01 -1.50242540e+03  1.52174845e+02
  2.18000000e+01 -1.57789623e+03  3.95139713e+01
  2.19000000e+01 -1.64577158e+03 -7.46023250e+01
  2.20000000e+01 -1.70572471e+03 -1.84152816e+02
  2.21000000e+01 -1.75746704e+03 -2.83357491e+02
  2.22000000e+01 -1.80074950e+03 -3.66982821e+02
  2.23000000e+01 -1.83536373e+03 -4.30618158e+02
  2.24000000e+01 -1.86114312e+03 -4.70908677e+02
  2.25000000e+01 -1.87796356e+03 -4.85732552e+02
  2.26000000e+01 -1.88574410e+03 -4.74313018e+02
  2.27000000e+01 -1.88444728e+03 -4.37259387e+02
  2.28000000e+01 -1.87407934e+03 -3.76534867e+02
  2.29000000e+01 -1.85469019e+03 -2.95352873e+02
  2.30000000e+01 -1.82637317e+03 -1.98007314e+02
  2.31000000e+01 -1.78926457e+03 -8.96458085e+01
  2.32000000e+01 -1.74354304e+03  2.40021800e+01
  2.33000000e+01 -1.68942866e+03  1.36927941e+02
  2.34000000e+01 -1.62718191e+03  2.43160859e+02
  2.35000000e+01 -1.55710244e+03  3.37083749e+02
  2.36000000e+01 -1.47952759e+03  4.13729515e+02
  2.37000000e+01 -1.39483077e+03  4.69043485e+02
  2.38000000e+01 -1.30341968e+03  5.00097551e+02
  2.39000000e+01 -1.20573436e+03  5.05244812e+02
  2.40000000e+01 -1.10224503e+03  4.84206550e+02
  2.41000000e+01 -9.93449839e+02  4.38086950e+02
  2.42000000e+01 -8.79872508e+02  3.69314779e+02
  2.43000000e+01 -7.62059757e+02  2.81515116e+02
  2.44000000e+01 -6.40578697e+02  1.79317893e+02
  2.45000000e+01 -5.16014099e+02  6.81133674e+01
  2.46000000e+01 -3.88965577e+02 -4.62325515e+01
  2.47000000e+01 -2.60044701e+02 -1.57688110e+02
  2.48000000e+01 -1.29872055e+02 -2.60374265e+02
  2.49000000e+01  9.25753476e-01 -3.48875181e+02
  2.50000000e+01  1.31719105e+02 -4.18524255e+02
  2.51000000e+01  2.61878404e+02 -4.65650578e+02
  2.52000000e+01  3.90777104e+02 -4.87772803e+02
  2.53000000e+01  5.17794730e+02 -4.83730197e+02
  2.54000000e+01  6.42319861e+02 -4.53743934e+02
  2.55000000e+01  7.63753071e+02 -3.99405415e+02
  2.56000000e+01  8.81509822e+02 -3.23592211e+02
  2.57000000e+01  9.95023271e+02 -2.30316090e+02
  2.58000000e+01  1.10374700e+03 -1.24511135e+02
  2.59000000e+01  1.20715765e+03 -1.17731515e+01
  2.60000000e+01  1.30475743e+03  1.01935866e+02
  2.61000000e+01  1.39607654e+03  2.10602615e+02
  2.62000000e+01  1.48067538e+03  3.08480067e+02
  2.63000000e+01  1.55814674e+03  3.90390994e+02
  2.64000000e+01  1.62811768e+03  4.52001396e+02
  2.65000000e+01  1.69025139e+03  4.90049392e+02
  2.66000000e+01  1.74424878e+03  5.02517493e+02
  2.67000000e+01  1.78984992e+03  4.88739155e+02
  2.68000000e+01  1.82683531e+03  4.49433972e+02
  2.69000000e+01  1.85502690e+03  3.86669677e+02
  2.70000000e+01  1.87428899e+03  3.03752930e+02
  2.71000000e+01  1.88452887e+03  2.05054685e+02
  2.72000000e+01  1.88569723e+03  9.57793341e+01
  2.73000000e+01  1.87778846e+03 -1.83101483e+01
  2.74000000e+01  1.86084063e+03 -1.31196576e+02
  2.75000000e+01  1.83493531e+03 -2.36926338e+02
  2.76000000e+01  1.80019721e+03 -3.29923832e+02
  2.77000000e+01  1.75679355e+03 -4.05285928e+02
  2.78000000e+01  1.70493325e+03 -4.59040922e+02
  2.79000000e+01  1.64486596e+03 -4.88358293e+02
  2.80000000e+01  1.57688081e+03 -4.91698190e+02
  2.81000000e+01  1.50130507e+03 -4.68892750e+02
  2.82000000e+01  1.41850254e+03 -4.21154969e+02
  2.83000000e+01  1.32887180e+03 -3.51014623e+02
  2.84000000e+01  1.23284430e+03 -2.62184670e+02
  2.85000000e+01  1.13088228e+03 -1.59365141e+02
  2.86000000e+01  1.02347657e+03 -4.79949161e+01
  2.87000000e+01  9.11144172e+02  6.60355255e+01
  2.88000000e+01  7.94425822e+02  1.76695208e+02
  2.89000000e+01  6.73883364e+02  2.78131178e+02
  2.90000000e+01  5.50097051e+02  3.64977621e+02
  2.91000000e+01  4.23662749e+02  4.32639250e+02
  2.92000000e+01  2.95189073e+02  4.77533999e+02
  2.93000000e+01  1.65294452e+02  4.97282206e+02
  2.94000000e+01  3.46041575e+01  4.90832289e+02
  2.95000000e+01 -9.62527100e+01  4.58516283e+02
  2.96000000e+01 -2.26646248e+02  4.02032299e+02
  2.97000000e+01 -3.55948784e+02  3.24354845e+02
  2.98000000e+01 -4.83537898e+02  2.29577720e+02
  2.99000000e+01 -6.08799418e+02  1.22697815e+02
  3.00000000e+01 -7.31130374e+02  9.35119716e+00
  3.01000000e+01 -8.49941906e+02 -1.04484546e+02
  3.02000000e+01 -9.64662093e+02 -2.12806007e+02
  3.03000000e+01 -1.07473871e+03 -3.09901022e+02
  3.04000000e+01 -1.17964188e+03 -3.90650347e+02
  3.05000000e+01 -1.27886664e+03 -4.50798022e+02
  3.06000000e+01 -1.37193535e+03 -4.87176147e+02
  3.07000000e+01 -1.45840001e+03 -4.97872180e+02
  3.08000000e+01 -1.53784441e+03 -4.82329946e+02
  3.09000000e+01 -1.60988612e+03 -4.41379009e+02
  3.10000000e+01 -1.67417836e+03 -3.77190850e+02
  3.11000000e+01 -1.73041165e+03 -2.93164185e+02
  3.12000000e+01 -1.77831529e+03 -1.93745458e+02
  3.13000000e+01 -1.81765871e+03 -8.41940076e+01
  3.14000000e+01 -1.84825251e+03  2.96957013e+01
  3.15000000e+01 -1.86994942e+03  1.41900109e+02
  3.16000000e+01 -1.88264500e+03  2.46484688e+02
  3.17000000e+01 -1.88627813e+03  3.37917368e+02
  3.18000000e+01 -1.88083134e+03  4.11360707e+02
  3.19000000e+01 -1.86633083e+03  4.62927371e+02
  3.20000000e+01 -1.84284642e+03  4.89885442e+02
  3.21000000e+01 -1.81049114e+03  4.90802696e+02
  3.22000000e+01 -1.76942074e+03  4.65622246e+02
  3.23000000e+01 -1.71983292e+03  4.15665539e+02
  3.24000000e+01 -1.66196639e+03  3.43562569e+02
  3.25000000e+01 -1.59609969e+03  2.53112973e+02
  3.26000000e+01 -1.52254989e+03  1.49085354e+02
  3.27000000e+01 -1.44167102e+03  3.69654382e+01
  3.28000000e+01 -1.35385242e+03 -7.73336534e+01
  3.29000000e+01 -1.25951681e+03 -1.87783696e+02
  3.30000000e+01 -1.15911829e+03 -2.88559734e+02
  3.31000000e+01 -1.05314016e+03 -3.74347718e+02
  3.32000000e+01 -9.42092554e+02 -4.40625158e+02
  3.33000000e+01 -8.26510018e+02 -4.83899968e+02
  3.34000000e+01 -7.06948932e+02 -5.01894898e+02
  3.35000000e+01 -5.83984823e+02 -4.93667796e+02
  3.36000000e+01 -4.58209601e+02 -4.59661365e+02
  3.37000000e+01 -3.30228707e+02 -4.01679778e+02
  3.38000000e+01 -2.00658199e+02 -3.22793392e+02
  3.39000000e+01 -7.01217882e+01 -2.27176580e+02
  3.40000000e+01  6.07521662e+01 -1.19887274e+02
  3.41000000e+01  1.91333679e+02 -6.59982391e+00
  3.42000000e+01  3.20994174e+02  1.06694682e+02
  3.43000000e+01  4.49109506e+02  2.14004832e+02
  3.44000000e+01  5.75062971e+02  3.09655323e+02
  3.45000000e+01  6.98248270e+02  3.88586692e+02
  3.46000000e+01  8.18072427e+02  4.46622525e+02
  3.47000000e+01  9.33958649e+02  4.80690030e+02
  3.48000000e+01  1.04534910e+03  4.88982322e+02
  3.49000000e+01  1.15170757e+03  4.71053845e+02
  3.50000000e+01  1.25252210e+03  4.27843905e+02
  3.51000000e+01  1.34730740e+03  3.61627062e+02
  3.52000000e+01  1.43560719e+03  2.75892995e+02
  3.53000000e+01  1.51699644e+03  1.75162198e+02
  3.54000000e+01  1.59108336e+03  6.47472399e+01
  3.55000000e+01  1.65751132e+03 -4.95278207e+01
  3.56000000e+01  1.71596055e+03 -1.61635021e+02
  3.57000000e+01  1.76614971e+03 -2.65660854e+02
  3.58000000e+01  1.80783720e+03 -3.56118583e+02
  3.59000000e+01  1.84082235e+03 -4.28238015e+02
  3.60000000e+01  1.86494637e+03 -4.78217430e+02
  3.61000000e+01  1.88009315e+03 -5.03424360e+02
  3.62000000e+01  1.88618977e+03 -5.02534618e+02
  3.63000000e+01  1.88320688e+03 -4.75602231e+02
  3.64000000e+01  1.87115885e+03 -4.24056578e+02
  3.65000000e+01  1.85010367e+03 -3.50626903e+02
  3.66000000e+01  1.82014268e+03 -2.59198162e+02
  3.67000000e+01  1.78142012e+03 -1.54605847e+02
  3.68000000e+01  1.73412239e+03 -4.23806008e+01
  3.69000000e+01  1.67847715e+03  7.15438817e+01
  3.70000000e+01  1.61475226e+03  1.81144232e+02
  3.71000000e+01  1.54325449e+03  2.80625528e+02
  3.72000000e+01  1.46432798e+03  3.64727345e+02
  3.73000000e+01  1.37835268e+03  4.29001578e+02
  3.74000000e+01  1.28574243e+03  4.70047362e+02
  3.75000000e+01  1.18694304e+03  4.85690683e+02
  3.76000000e+01  1.08243009e+03  4.75099195e+02
  3.77000000e+01  9.72706674e+02  4.38826176e+02
  3.78000000e+01  8.58300962e+02  3.78781305e+02
  3.79000000e+01  7.39763668e+02  2.98129803e+02
  3.80000000e+01  6.17665392e+02  2.01125264e+02
  3.81000000e+01  4.92593876e+02  9.28850059e+01
  3.82000000e+01  3.65151172e+02 -2.08801981e+01
  3.83000000e+01  2.35950750e+02 -1.34167724e+02
  3.84000000e+01  1.05614537e+02 -2.41000122e+02
  3.85000000e+01 -2.52300698e+01 -3.35740802e+02
  3.86000000e+01 -1.55953227e+02 -4.13391727e+02
  3.87000000e+01 -2.85925675e+02 -4.69857375e+02
  3.88000000e+01 -4.14521770e+02 -5.02161034e+02
  3.89000000e+01 -5.41122492e+02 -5.08602013e+02
  3.90000000e+01 -6.65118425e+02 -4.88845458e+02
  3.91000000e+01 -7.85912694e+02 -4.43940034e+02
  3.92000000e+01 -9.02923834e+02 -3.76262535e+02
  3.93000000e+01 -1.01558859e+03 -2.89392357e+02
  3.94000000e+01 -1.12336463e+03 -1.87922452e+02
  3.95000000e+01 -1.22573316e+03 -7.72167523e+01
  3.96000000e+01 -1.32220141e+03  3.68731166e+01
  3.97000000e+01 -1.41230501e+03  1.48316888e+02
  3.98000000e+01 -1.49561023e+03  2.51224133e+02
  3.99000000e+01 -1.57171607e+03  3.40155360e+02
  4.00000000e+01 -1.64025618e+03  4.10409289e+02
  4.01000000e+01 -1.70090063e+03  4.58271148e+02
  4.02000000e+01 -1.75335749e+03  4.81208860e+02
  4.03000000e+01 -1.79737426e+03  4.78006769e+02
  4.04000000e+01 -1.83273905e+03  4.48829843e+02
  4.05000000e+01 -1.85928163e+03  3.95214956e+02
  4.06000000e+01 -1.87687424e+03  3.19989723e+02
  4.07000000e+01 -1.88543217e+03  2.27123154e+02
  4.08000000e+01 -1.88491426e+03  1.21516039e+02
  4.09000000e+01 -1.87532297e+03  8.74211559e+00
  4.10000000e+01 -1.85670449e+03 -1.05246304e+02
  4.11000000e+01 -1.82914843e+03 -2.14432693e+02
  4.12000000e+01 -1.79278745e+03 -3.13054069e+02
  4.13000000e+01 -1.74779658e+03 -3.95905357e+02
  4.14000000e+01 -1.69439237e+03 -4.58614285e+02
  4.15000000e+01 -1.63283191e+03 -4.97872301e+02
  4.16000000e+01 -1.56341153e+03 -5.11609307e+02
  4.17000000e+01 -1.48646539e+03 -4.99102985e+02
  4.18000000e+01 -1.40236389e+03 -4.61016940e+02
  4.19000000e+01 -1.31151187e+03 -3.99365655e+02
  4.20000000e+01 -1.21434665e+03 -3.17408091e+02
  4.21000000e+01 -1.11133597e+03 -2.19475566e+02
  4.22000000e+01 -1.00297567e+03 -1.10743003e+02
  4.23000000e+01 -8.89787374e+02  3.04438442e+00
  4.24000000e+01 -7.72315930e+02  1.15874514e+02
  4.25000000e+01 -6.51126808e+02  2.21785961e+02
  4.26000000e+01 -5.26803372e+02  3.15182802e+02
  4.27000000e+01 -3.99944077e+02  3.91130154e+02
  4.28000000e+01 -2.71159581e+02  4.45614808e+02
  4.29000000e+01 -1.41069810e+02  4.75757175e+02
  4.30000000e+01 -1.03009760e+01  4.79963369e+02
