             x_1            v_x1             x_2            v_x2
 -4.78329949e+02 -4.87275651e+02 -4.31109998e+02  2.16319593e+02
 -4.83155732e+02 -4.77849088e+02 -4.28928082e+02  2.20038485e+02
 -4.87886282e+02 -4.68229797e+02 -4.26709749e+02  2.23602875e+02
 -4.92519702e+02 -4.58424096e+02 -4.24456546e+02  2.27012125e+02
 -4.97054159e+02 -4.48437914e+02 -4.22170030e+02  2.30265194e+02
 -5.01487876e+02 -4.38277010e+02 -4.19851769e+02  2.33360854e+02
 -5.05819134e+02 -4.27947077e+02 -4.17503344e+02  2.36297805e+02
 -5.10046272e+02 -4.17453799e+02 -4.15126348e+02  2.39074734e+02
 -5.14167684e+02 -4.06802886e+02 -4.12722388e+02  2.41690348e+02
 -5.18181822e+02 -3.96000086e+02 -4.10293084e+02  2.44143400e+02
 -5.22087198e+02 -3.85051201e+02 -4.07840066e+02  2.46432697e+02
 -5.25882378e+02 -3.73962090e+02 -4.05364980e+02  2.48557114e+02
 -5.29565992e+02 -3.62738669e+02 -4.02869478e+02  2.50515598e+02
 -5.33136724e+02 -3.51386916e+02 -4.00355225e+02  2.52307175e+02
 -5.36593322e+02 -3.39912868e+02 -3.97823894e+02  2.53930948e+02
 -5.39934593e+02 -3.28322621e+02 -3.95277168e+02  2.55386105e+02
 -5.43159407e+02 -3.16622327e+02 -3.92716737e+02  2.56671918e+02
 -5.46266694e+02 -3.04818193e+02 -3.90144296e+02  2.57787744e+02
 -5.49255446e+02 -2.92916477e+02 -3.87561550e+02  2.58733029e+02
 -5.52124719e+02 -2.80923487e+02 -3.84970206e+02  2.59507306e+02
 -5.54873632e+02 -2.68845579e+02 -3.82371976e+02  2.60110197e+02
 -5.57501368e+02 -2.56689148e+02 -3.79768575e+02  2.60541413e+02
 -5.60007175e+02 -2.44460634e+02 -3.77161720e+02  2.60800755e+02
 -5.62390362e+02 -2.32166511e+02 -3.74553133e+02  2.60888114e+02
 -5.64650308e+02 -2.19813289e+02 -3.71944532e+02  2.60803471e+02
 -5.66786453e+02 -2.07407505e+02 -3.69337637e+02  2.60546900e+02
 -5.68798304e+02 -1.94955728e+02 -3.66734166e+02  2.60118561e+02
 -5.70685436e+02 -1.82464547e+02 -3.64135837e+02  2.59518709e+02
 -5.72447486e+02 -1.69940573e+02 -3.61544363e+02  2.58747687e+02
 -5.74084160e+02 -1.57390433e+02 -3.58961453e+02  2.57805930e+02
 -5.75595230e+02 -1.44820769e+02 -3.56388812e+02  2.56693961e+02
 -5.76980533e+02 -1.32238231e+02 -3.53828139e+02  2.55412395e+02
 -5.78239973e+02 -1.19649477e+02 -3.51281127e+02  2.53961937e+02
 -5.79373524e+02 -1.07061167e+02 -3.48749460e+02  2.52343380e+02
 -5.80381220e+02 -9.44799619e+01 -3.46234817e+02  2.50557606e+02
 -5.81263169e+02 -8.19125170e+01 -3.43738863e+02  2.48605587e+02
 -5.82019539e+02 -6.93654809e+01 -3.41263256e+02  2.46488382e+02
 -5.82650568e+02 -5.68454911e+01 -3.38809642e+02  2.44207139e+02
 -5.83156561e+02 -4.43591705e+01 -3.36379656e+02  2.41763089e+02
 -5.83537886e+02 -3.19131239e+01 -3.33974918e+02  2.39157555e+02
 -5.83794979e+02 -1.95139347e+01 -3.31597038e+02  2.36391940e+02
 -5.83928343e+02 -7.16816116e+00 -3.29247608e+02  2.33467737e+02
 -5.83938543e+02  5.11766679e+00 -3.26928207e+02  2.30386519e+02
 -5.83826211e+02  1.73370513e+01 -3.24640396e+02  2.27149944e+02
 -5.83592044e+02  2.94835297e+01 -3.22385720e+02  2.23759753e+02
 -5.83236805e+02  4.15506784e+01 -3.20165707e+02  2.20217767e+02
 -5.82761317e+02  5.35321157e+01 -3.17981864e+02  2.16525888e+02
 -5.82166469e+02  6.54215058e+01 -3.15835682e+02  2.12686099e+02
 -5.81453214e+02  7.72125614e+01 -3.13728629e+02  2.08700460e+02
 -5.80622567e+02  8.88990480e+01 -3.11662152e+02  2.04571107e+02
 -5.79675603e+02  1.00474786e+02 -3.09637678e+02  2.00300256e+02
 -5.78613460e+02  1.11933656e+02 -3.07656611e+02  1.95890194e+02
 -5.77437339e+02  1.23269598e+02 -3.05720330e+02  1.91343286e+02
 -5.76148498e+02  1.34476620e+02 -3.03830193e+02  1.86661965e+02
 -5.74748256e+02  1.45548798e+02 -3.01987531e+02  1.81848740e+02
 -5.73237991e+02  1.56480278e+02 -3.00193649e+02  1.76906186e+02
 -5.71619139e+02  1.67265283e+02 -2.98449829e+02  1.71836950e+02
 -5.69893193e+02  1.77898111e+02 -2.96757324e+02  1.66643743e+02
 -5.68061703e+02  1.88373144e+02 -2.95117358e+02  1.61329344e+02
 -5.66126274e+02  1.98684845e+02 -2.93531131e+02  1.55896596e+02
 -5.64088568e+02  2.08827765e+02 -2.91999811e+02  1.50348405e+02
 -5.61950300e+02  2.18796545e+02 -2.90524538e+02  1.44687737e+02
 -5.59713236e+02  2.28585917e+02 -2.89106421e+02  1.38917619e+02
 -5.57379197e+02  2.38190710e+02 -2.87746540e+02  1.33041136e+02
 -5.54950054e+02  2.47605850e+02 -2.86445943e+02  1.27061428e+02
 -5.52427728e+02  2.56826363e+02 -2.85205645e+02  1.20981692e+02
 -5.49814191e+02  2.65847380e+02 -2.84026632e+02  1.14805177e+02
 -5.47111462e+02  2.74664136e+02 -2.82909853e+02  1.08535183e+02
 -5.44321605e+02  2.83271975e+02 -2.81856228e+02  1.02175061e+02
 -5.41446734e+02  2.91666354e+02 -2.80866641e+02  9.57282079e+01
 -5.38489004e+02  2.99842839e+02 -2.79941942e+02  8.91980686e+01
 -5.35450618e+02  3.07797116e+02 -2.79082946e+02  8.25881312e+01
 -5.32333817e+02  3.15524987e+02 -2.78290433e+02  7.59019266e+01
 -5.29140886e+02  3.23022372e+02 -2.77565150e+02  6.91430261e+01
 -5.25874151e+02  3.30285317e+02 -2.76907803e+02  6.23150395e+01
 -5.22535974e+02  3.37309991e+02 -2.76319067e+02  5.54216137e+01
 -5.19128758e+02  3.44092688e+02 -2.75799577e+02  4.84664302e+01
 -5.15654939e+02  3.50629832e+02 -2.75349932e+02  4.14532033e+01
 -5.12116991e+02  3.56917976e+02 -2.74970694e+02  3.43856785e+01
 -5.08517421e+02  3.62953807e+02 -2.74662387e+02  2.72676300e+01
 -5.04858767e+02  3.68734145e+02 -2.74425497e+02  2.01028591e+01
 -5.01143600e+02  3.74255943e+02 -2.74260472e+02  1.28951918e+01
 -4.97374519e+02  3.79516294e+02 -2.74167723e+02  5.64847721e+00
 -4.93554155e+02  3.84512429e+02 -2.74147620e+02 -1.63341458e+00
 -4.89685160e+02  3.89241719e+02 -2.74200496e+02 -8.94659477e+00
 -4.85770218e+02  3.93701677e+02 -2.74326643e+02 -1.62871577e+01
 -4.81812033e+02  3.97889956e+02 -2.74526317e+02 -2.36511828e+01
 -4.77813332e+02  4.01804355e+02 -2.74799732e+02 -3.10347369e+01
 -4.73776865e+02  4.05442820e+02 -2.75147064e+02 -3.84338761e+01
 -4.69705402e+02  4.08803440e+02 -2.75568448e+02 -4.58446480e+01
 -4.65601729e+02  4.11884451e+02 -2.76063982e+02 -5.32630933e+01
 -4.61468650e+02  4.14684240e+02 -2.76633722e+02 -6.06852484e+01
 -4.57308986e+02  4.17201339e+02 -2.77277686e+02 -6.81071472e+01
 -4.53125570e+02  4.19434433e+02 -2.77995851e+02 -7.55248229e+01
 -4.48921248e+02  4.21382354e+02 -2.78788155e+02 -8.29343105e+01
 -4.44698877e+02  4.23044087e+02 -2.79654497e+02 -9.03316481e+01
 -4.40461324e+02  4.24418765e+02 -2.80594734e+02 -9.77128797e+01
 -4.36211461e+02  4.25505676e+02 -2.81608687e+02 -1.05074056e+02
 -4.31952171e+02  4.26304256e+02 -2.82696135e+02 -1.12411238e+02
 -4.27686339e+02  4.26814094e+02 -2.83856819e+02 -1.19720497e+02
 -4.23416853e+02  4.27034930e+02 -2.85090439e+02 -1.26997917e+02
 -4.19146604e+02  4.26966655e+02 -2.86396658e+02 -1.34239596e+02
 -4.14878484e+02  4.26609309e+02 -2.87775098e+02 -1.41441648e+02
 -4.10615382e+02  4.25963083e+02 -2.89225345e+02 -1.48600206e+02
 -4.06360184e+02  4.25028317e+02 -2.90746944e+02 -1.55711419e+02
 -4.02115776e+02  4.23805497e+02 -2.92339403e+02 -1.62771456e+02
 -3.97885033e+02  4.22295254e+02 -2.94002190e+02 -1.69776504e+02
 -3.93670827e+02  4.20498361e+02 -2.95734736e+02 -1.76722770e+02
 -3.89476019e+02  4.18415730e+02 -2.97536436e+02 -1.83606479e+02
 -3.85303462e+02  4.16048406e+02 -2.99406644e+02 -1.90423868e+02
 -3.81155997e+02  4.13397559e+02 -3.01344679e+02 -1.97171187e+02
 -3.77036453e+02  4.10464474e+02 -3.03349820e+02 -2.03844684e+02
 -3.72947645e+02  4.07250533e+02 -3.05421312e+02 -2.10440596e+02
 -3.68892376e+02  4.03757192e+02 -3.07558359e+02 -2.16955123e+02
 -3.64873431e+02  3.99985933e+02 -3.09760128e+02 -2.23384391e+02
 -3.60893582e+02  3.95938199e+02 -3.12025746e+02 -2.29724379e+02
 -3.56955589e+02  3.91615255e+02 -3.14354298e+02 -2.35970792e+02
 -3.53062199e+02  3.87017941e+02 -3.16744826e+02 -2.42118812e+02
 -3.49216157e+02  3.82146124e+02 -3.19196315e+02 -2.48162556e+02
 -3.45420220e+02  3.76997413e+02 -3.21707682e+02 -2.54093791e+02
 -3.41677198e+02  3.71563565e+02 -3.24277730e+02 -2.59898347e+02
 -3.37990077e+02  3.65817823e+02 -3.26905029e+02 -2.65543453e+02
 -3.34362533e+02  3.59648520e+02 -3.29587395e+02 -2.70911349e+02
 -3.30804139e+02  3.51988470e+02 -3.32316690e+02 -2.74928676e+02
 -3.27240232e+02  3.60751245e+02 -3.35168948e+02 -2.95502762e+02
 -3.23662962e+02  3.54660695e+02 -3.38153323e+02 -3.01351141e+02
 -3.20149784e+02  3.47933545e+02 -3.41193609e+02 -3.06684150e+02
 -3.16705547e+02  3.40872880e+02 -3.44286133e+02 -3.11798427e+02
 -3.13333299e+02  3.33536576e+02 -3.47428965e+02 -3.16745337e+02
