             x_1             y_1             x_2             y_2
 -3.77427305e+02 -1.38751966e+03 -4.62715986e+02 -5.38665923e+02
 -3.83614993e+02 -1.38494232e+03 -4.61404922e+02 -5.35704025e+02
 -3.89748474e+02 -1.38224998e+03 -4.60034193e+02 -5.32787314e+02
 -3.95825141e+02 -1.37944392e+03 -4.58604869e+02 -5.29917143e+02
 -4.01842418e+02 -1.37652547e+03 -4.57118054e+02 -5.27094842e+02
 -4.07797761e+02 -1.37349602e+03 -4.55574878e+02 -5.24321713e+02
 -4.13688658e+02 -1.37035702e+03 -4.53976505e+02 -5.21599032e+02
 -4.19512631e+02 -1.36710998e+03 -4.52324126e+02 -5.18928048e+02
 -4.25267237e+02 -1.36375645e+03 -4.50618960e+02 -5.16309983e+02
 -4.30950070e+02 -1.36029806e+03 -4.48862255e+02 -5.13746031e+02
 -4.36558763e+02 -1.35673647e+03 -4.47055287e+02 -5.11237354e+02
 -4.42090985e+02 -1.35307343e+03 -4.45199355e+02 -5.08785087e+02
 -4.47544450e+02 -1.34931070e+03 -4.43295787e+02 -5.06390334e+02
 -4.52916910e+02 -1.34545012e+03 -4.41345935e+02 -5.04054169e+02
 -4.58206160e+02 -1.34149358e+03 -4.39351175e+02 -5.01777632e+02
 -4.63410041e+02 -1.33744301e+03 -4.37312907e+02 -4.99561734e+02
 -4.68526438e+02 -1.33330039e+03 -4.35232554e+02 -4.97407451e+02
 -4.73553282e+02 -1.32906775e+03 -4.33111561e+02 -4.95315728e+02
 -4.78488552e+02 -1.32474718e+03 -4.30951394e+02 -4.93287476e+02
 -4.83330274e+02 -1.32034079e+03 -4.28753540e+02 -4.91323570e+02
 -4.88076525e+02 -1.31585076e+03 -4.26519506e+02 -4.89424853e+02
 -4.92725431e+02 -1.31127930e+03 -4.24250817e+02 -4.87592132e+02
 -4.97275172e+02 -1.30662867e+03 -4.21949017e+02 -4.85826179e+02
 -5.01723978e+02 -1.30190116e+03 -4.19615667e+02 -4.84127730e+02
 -5.06070133e+02 -1.29709912e+03 -4.17252345e+02 -4.82497484e+02
 -5.10311975e+02 -1.29222491e+03 -4.14860644e+02 -4.80936105e+02
 -5.14447899e+02 -1.28728095e+03 -4.12442173e+02 -4.79444219e+02
