               t             x_1             y_1             z_1            v_x1            v_y1            v_z1
  1.02000000e+01 -1.11428727e+03  3.95927385e+03  1.27214506e+03  7.72115044e+03  7.72115044e+03  7.72115044e+03
  1.03000000e+01 -2.39593091e+02  4.22006726e+03  1.17238134e+03  8.74694176e+03  8.74694176e+03  8.74694176e+03
  1.04000000e+01  6.97318153e+02  4.28041249e+03  1.06697189e+03  9.36911244e+03  9.36911244e+03  9.36911244e+03
  1.05000000e+01  1.65043836e+03  4.12547417e+03  9.56424314e+02  9.53120202e+03  9.53120202e+03  9.53120202e+03
  1.06000000e+01  2.57022637e+03  3.75097646e+03  8.41270977e+02  9.19788015e+03  9.19788015e+03  9.19788015e+03
  1.07000000e+01  3.40603125e+03  3.16404337e+03  7.22066406e+02  8.35804879e+03  8.35804879e+03  8.35804879e+03
  1.08000000e+01  4.10871516e+03  2.38348317e+03  5.99384646e+02  7.02683907e+03  7.02683907e+03  7.02683907e+03
  1.09000000e+01  4.63334839e+03  1.43946937e+03  4.73816483e+02  5.24633234e+03  5.24633234e+03  5.24633234e+03
  1.10000000e+01  4.94183773e+03  3.72600096e+02  3.45966606e+02  3.08489339e+03  3.08489339e+03  3.08489339e+03
  1.11000000e+01  5.00534475e+03 -7.67650244e+02  2.16450688e+02  6.35070245e+02  6.35070245e+02  6.35070245e+02
  1.12000000e+01  4.80635365e+03 -1.92504019e+03  8.58924277e+01 -1.98991104e+03 -1.98991104e+03 -1.98991104e+03
  1.13000000e+01  4.34025840e+03 -3.03915208e+03 -4.50794566e+01 -4.66095247e+03 -4.66095247e+03 -4.66095247e+03
  1.14000000e+01  3.61635726e+03 -4.04835502e+03 -1.75834256e+02 -7.23901146e+03 -7.23901146e+03 -7.23901146e+03
  1.15000000e+01  2.65816723e+03 -4.89300434e+03 -3.05742306e+02 -9.58190030e+03 -9.58190030e+03 -9.58190030e+03
  1.16000000e+01  1.50300248e+03 -5.51872161e+03 -4.34178021e+02 -1.15516475e+04 -1.15516475e+04 -1.15516475e+04
  1.17000000e+01  2.00796158e+02 -5.87958577e+03 -5.60522903e+02 -1.30220632e+04 -1.30220632e+04 -1.30220632e+04
  1.18000000e+01 -1.18781573e+03 -5.94106096e+03 -6.84168527e+02 -1.38861188e+04 -1.38861188e+04 -1.38861188e+04
  1.19000000e+01 -2.59408966e+03 -5.68249043e+03 -8.04519461e+02 -1.40627394e+04 -1.40627394e+04 -1.40627394e+04
  1.20000000e+01 -3.94435092e+03 -5.09899891e+03 -9.20996145e+02 -1.35026126e+04 -1.35026126e+04 -1.35026126e+04
  1.21000000e+01 -5.16361605e+03 -4.20266824e+03 -1.03303767e+03 -1.21926512e+04 -1.21926512e+04 -1.21926512e+04
  1.22000000e+01 -6.17949522e+03 -3.02288154e+03 -1.14010449e+03 -1.01587918e+04 -1.01587918e+04 -1.01587918e+04
  1.23000000e+01 -6.92618381e+03 -1.60576947e+03 -1.24168101e+03 -7.46688587e+03 -7.46688587e+03 -7.46688587e+03
  1.24000000e+01 -7.34833638e+03 -1.27357409e+01 -1.33727808e+03 -4.22152564e+03 -4.22152564e+03 -4.22152564e+03
  1.25000000e+01 -7.40461088e+03  1.68191342e+03 -1.42643534e+03 -5.62745011e+02 -5.62745011e+02 -5.62745011e+02
  1.26000000e+01 -7.07067580e+03  3.39416209e+03 -1.50872345e+03  3.33935076e+03  3.33935076e+03  3.33935076e+03
  1.27000000e+01 -6.34148948e+03  5.03417820e+03 -1.58374613e+03  7.29186324e+03  7.29186324e+03  7.29186324e+03
  1.28000000e+01 -5.23268836e+03  6.51074180e+03 -1.65114211e+03  1.10880112e+04  1.10880112e+04  1.10880112e+04
  1.29000000e+01 -3.78095884e+03  7.73600433e+03 -1.71058683e+03  1.45172951e+04  1.45172951e+04  1.45172951e+04
  1.30000000e+01 -2.04331384e+03  8.63034552e+03 -1.76179404e+03  1.73764500e+04  1.73764500e+04  1.73764500e+04
  1.31000000e+01 -9.52488420e+01  9.12707590e+03 -1.80451713e+03  1.94806500e+04  1.94806500e+04  1.94806500e+04
  1.32000000e+01  1.97218980e+03  9.17672648e+03 -1.83855037e+03  2.06743864e+04  2.06743864e+04  2.06743864e+04
  1.33000000e+01  4.05633197e+03  8.75067396e+03 -1.86372988e+03  2.08414218e+04  2.08414218e+04  2.08414218e+04
  1.34000000e+01  6.04765588e+03  7.84387061e+03 -1.87993438e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.35000000e+01  8.03897978e+03  6.93706725e+03 -1.89613889e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.36000000e+01  1.00303037e+04  6.03026390e+03 -1.91234340e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.37000000e+01  1.20216276e+04  5.12346054e+03 -1.92854791e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.38000000e+01  1.40129515e+04  4.21665719e+03 -1.94475241e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.39000000e+01  1.60042754e+04  3.30985383e+03 -1.96095692e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.40000000e+01  1.79955993e+04  2.40305048e+03 -1.97716143e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.41000000e+01  1.99869232e+04  1.49624713e+03 -1.99336593e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.42000000e+01  2.19782471e+04  5.89443771e+02 -2.00957044e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.43000000e+01  2.39695710e+04 -3.17359584e+02 -2.02577495e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.44000000e+01  2.59608949e+04 -1.22416294e+03 -2.04197945e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.45000000e+01  2.79522188e+04 -2.13096629e+03 -2.05818396e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.46000000e+01  2.99435427e+04 -3.03776965e+03 -2.07438847e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.47000000e+01  3.19348666e+04 -3.94457300e+03 -2.09059298e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.48000000e+01  3.39261905e+04 -4.85137636e+03 -2.10679748e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.49000000e+01  3.59175144e+04 -5.75817971e+03 -2.12300199e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.50000000e+01  3.79088383e+04 -6.66498307e+03 -2.13920650e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.51000000e+01  3.99001622e+04 -7.57178642e+03 -2.15541100e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.52000000e+01  4.18914861e+04 -8.47858978e+03 -2.17161551e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.53000000e+01  4.38828100e+04 -9.38539313e+03 -2.18782002e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.54000000e+01  4.58741339e+04 -1.02921965e+04 -2.20402452e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.55000000e+01  4.78654578e+04 -1.11989998e+04 -2.22022903e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.56000000e+01  4.98567817e+04 -1.21058032e+04 -2.23643354e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.57000000e+01  5.18481056e+04 -1.30126065e+04 -2.25263805e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.58000000e+01  5.38394295e+04 -1.39194099e+04 -2.26884255e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.59000000e+01  5.58307534e+04 -1.48262133e+04 -2.28504706e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.60000000e+01  5.78220774e+04 -1.57330166e+04 -2.30125157e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.61000000e+01  5.98134013e+04 -1.66398200e+04 -2.31745607e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.62000000e+01  6.18047252e+04 -1.75466233e+04 -2.33366058e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.63000000e+01  6.37960491e+04 -1.84534267e+04 -2.34986509e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.64000000e+01  6.57873730e+04 -1.93602300e+04 -2.36606959e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.65000000e+01  6.77786969e+04 -2.02670334e+04 -2.38227410e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.66000000e+01  6.97700208e+04 -2.11738367e+04 -2.39847861e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.67000000e+01  7.17613447e+04 -2.20806401e+04 -2.41468312e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.68000000e+01  7.37526686e+04 -2.29874434e+04 -2.43088762e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.69000000e+01  7.57439925e+04 -2.38942468e+04 -2.44709213e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.70000000e+01  7.77353164e+04 -2.48010502e+04 -2.46329664e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.71000000e+01  7.97266403e+04 -2.57078535e+04 -2.47950114e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.72000000e+01  8.17179642e+04 -2.66146569e+04 -2.49570565e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.73000000e+01  8.37092881e+04 -2.75214602e+04 -2.51191016e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.74000000e+01  8.57006120e+04 -2.84282636e+04 -2.52811466e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.75000000e+01  8.76919359e+04 -2.93350669e+04 -2.54431917e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.76000000e+01  8.96832598e+04 -3.02418703e+04 -2.56052368e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.77000000e+01  9.16745837e+04 -3.11486736e+04 -2.57672819e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.78000000e+01  9.36659076e+04 -3.20554770e+04 -2.59293269e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.79000000e+01  9.56572315e+04 -3.29622803e+04 -2.60913720e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.80000000e+01  9.76485554e+04 -3.38690837e+04 -2.62534171e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.81000000e+01  9.96398793e+04 -3.47758871e+04 -2.64154621e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.82000000e+01  1.01631203e+05 -3.56826904e+04 -2.65775072e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.83000000e+01  1.03622527e+05 -3.65894938e+04 -2.67395523e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.84000000e+01  1.05613851e+05 -3.74962971e+04 -2.69015973e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.85000000e+01  1.07605175e+05 -3.84031005e+04 -2.70636424e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.86000000e+01  1.09596499e+05 -3.93099038e+04 -2.72256875e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.87000000e+01  1.11587823e+05 -4.02167072e+04 -2.73877326e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.88000000e+01  1.13579147e+05 -4.11235105e+04 -2.75497776e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.89000000e+01  1.15570471e+05 -4.20303139e+04 -2.77118227e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.90000000e+01  1.17561794e+05 -4.29371172e+04 -2.78738678e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.91000000e+01  1.19553118e+05 -4.38439206e+04 -2.80359128e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.92000000e+01  1.21544442e+05 -4.47507240e+04 -2.81979579e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.93000000e+01  1.23535766e+05 -4.56575273e+04 -2.83600030e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.94000000e+01  1.25527090e+05 -4.65643307e+04 -2.85220481e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.95000000e+01  1.27518414e+05 -4.74711340e+04 -2.86840931e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.96000000e+01  1.29509738e+05 -4.83779374e+04 -2.88461382e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.97000000e+01  1.31501062e+05 -4.92847407e+04 -2.90081833e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.98000000e+01  1.33492386e+05 -5.01915441e+04 -2.91702283e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  1.99000000e+01  1.35483710e+05 -5.10983474e+04 -2.93322734e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.00000000e+01  1.37475033e+05 -5.20051508e+04 -2.94943185e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.01000000e+01  1.39466357e+05 -5.29119542e+04 -2.96563635e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.02000000e+01  1.41457681e+05 -5.38187575e+04 -2.98184086e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.03000000e+01  1.43449005e+05 -5.47255609e+04 -2.99804537e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.04000000e+01  1.45440329e+05 -5.56323642e+04 -3.01424988e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.05000000e+01  1.47431653e+05 -5.65391676e+04 -3.03045438e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.06000000e+01  1.49422977e+05 -5.74459709e+04 -3.04665889e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
  2.07000000e+01  1.51414301e+05 -5.83527743e+04 -3.06286340e+03  1.99132390e+04  1.99132390e+04  1.99132390e+04
