             x_1             y_1             z_1             x_2             y_2             z_2
 -2.53199106e+02 -1.41340460e+03  1.00907018e+03 -4.75108045e+02 -6.01569407e+02  5.11024438e+02
 -2.59892194e+02 -1.41317037e+03  9.96059907e+02 -4.75089419e+02 -5.98033888e+02  5.16906211e+02
 -2.66584369e+02 -1.41280903e+03  9.83001667e+02 -4.74997291e+02 -5.94514102e+02  5.22763092e+02
 -2.73272732e+02 -1.41232060e+03  9.69896090e+02 -4.74832055e+02 -5.91011730e+02  5.28594799e+02
 -2.79954386e+02 -1.41170522e+03  9.56743807e+02 -4.74594149e+02 -5.87528443e+02  5.34401051e+02
 -2.86626436e+02 -1.41096305e+03  9.43545451e+02 -4.74284046e+02 -5.84065901e+02  5.40181568e+02
 -2.93285995e+02 -1.41009436e+03  9.30301658e+02 -4.73902257e+02 -5.80625753e+02  5.45936073e+02
 -2.99930178e+02 -1.40909944e+03  9.17013065e+02 -4.73449333e+02 -5.77209635e+02  5.51664287e+02
 -3.06556111e+02 -1.40797869e+03  9.03680313e+02 -4.72925861e+02 -5.73819172e+02  5.57365936e+02
 -3.13160930e+02 -1.40673254e+03  8.90304043e+02 -4.72332465e+02 -5.70455973e+02  5.63040744e+02
 -3.19741780e+02 -1.40536152e+03  8.76884899e+02 -4.71669806e+02 -5.67121632e+02  5.68688438e+02
 -3.26295819e+02 -1.40386620e+03  8.63423529e+02 -4.70938583e+02 -5.63817729e+02  5.74308747e+02
 -3.32820220e+02 -1.40224723e+03  8.49920579e+02 -4.70139530e+02 -5.60545826e+02  5.79901399e+02
 -3.39312172e+02 -1.40050531e+03  8.36376701e+02 -4.69273417e+02 -5.57307468e+02  5.85466126e+02
 -3.45768879e+02 -1.39864121e+03  8.22792547e+02 -4.68341049e+02 -5.54104183e+02  5.91002658e+02
 -3.52187565e+02 -1.39665578e+03  8.09168770e+02 -4.67343265e+02 -5.50937479e+02  5.96510731e+02
 -3.58565473e+02 -1.39454992e+03  7.95506026e+02 -4.66280942e+02 -5.47808844e+02  6.01990078e+02
 -3.64899870e+02 -1.39232458e+03  7.81804975e+02 -4.65154987e+02 -5.44719746e+02  6.07440436e+02
