             y_1            v_y1             y_2            v_y2
 -9.61901483e+02  2.92208398e+02 -5.20236047e+02  9.51861633e+01
 -9.57949853e+02  3.00421527e+02 -5.22683549e+02  8.86193814e+01
 -9.54093620e+02  3.08412191e+02 -5.25164973e+02  8.19730567e+01
 -9.50334615e+02  3.16176175e+02 -5.27678777e+02  7.52507385e+01
 -9.46674617e+02  3.23709382e+02 -5.30223405e+02  6.84560163e+01
 -9.43115352e+02  3.31007839e+02 -5.32797281e+02  6.15925181e+01
 -9.39658490e+02  3.38067696e+02 -5.35398814e+02  5.46639083e+01
 -9.36305649e+02  3.44885232e+02 -5.38026400e+02  4.76738860e+01
 -9.33058390e+02  3.51456852e+02 -5.40678419e+02  4.06261829e+01
 -9.29918215e+02  3.57779094e+02 -5.43353236e+02  3.35245613e+01
 -9.26886573e+02  3.63848625e+02 -5.46049208e+02  2.63728122e+01
 -9.23964851e+02  3.69662251e+02 -5.48764677e+02  1.91747531e+01
 -9.21154379e+02  3.75216908e+02 -5.51497975e+02  1.19342262e+01
 -9.18456426e+02  3.80509675e+02 -5.54247424e+02  4.65509618e+00
 -9.15872202e+02  3.85537766e+02 -5.57011340e+02 -2.65875160e+00
 -9.13402856e+02  3.90298538e+02 -5.59788026e+02 -1.00034135e+01
 -9.11049473e+02  3.94789488e+02 -5.62575781e+02 -1.73749694e+01
 -9.08813079e+02  3.99008258e+02 -5.65372899e+02 -2.47694849e+01
 -9.06694636e+02  4.02952632e+02 -5.68177665e+02 -3.21830134e+01
 -9.04695042e+02  4.06620542e+02 -5.70988362e+02 -3.96115983e+01
 -9.02815132e+02  4.10010066e+02 -5.73803270e+02 -4.70512746e+01
 -9.01055677e+02  4.13119430e+02 -5.76620664e+02 -5.44980719e+01
 -8.99417384e+02  4.15947007e+02 -5.79438820e+02 -6.19480155e+01
 -8.97900893e+02  4.18491321e+02 -5.82256013e+02 -6.93971294e+01
 -8.96506781e+02  4.20751048e+02 -5.85070515e+02 -7.68414377e+01
 -8.95235558e+02  4.22725011e+02 -5.87880603e+02 -8.42769672e+01
 -8.94087670e+02  4.24412188e+02 -5.90684554e+02 -9.16997492e+01
 -8.93063493e+02  4.25811707e+02 -5.93480648e+02 -9.91058218e+01
 -8.92163342e+02  4.26922852e+02 -5.96267170e+02 -1.06491232e+02
 -8.91387461e+02  4.27745055e+02 -5.99042409e+02 -1.13852037e+02
 -8.90736031e+02  4.28277906e+02 -6.01804658e+02 -1.21184309e+02
 -8.90209162e+02  4.28521147e+02 -6.04552219e+02 -1.28484133e+02
 -8.89806903e+02  4.28474671e+02 -6.07283401e+02 -1.35747612e+02
 -8.89529231e+02  4.28138530e+02 -6.09996521e+02 -1.42970869e+02
 -8.89376059e+02  4.27512925e+02 -6.12689904e+02 -1.50150048e+02
 -8.89347232e+02  4.26598213e+02 -6.15361888e+02 -1.57281315e+02
 -8.89442530e+02  4.25394904e+02 -6.18010819e+02 -1.64360862e+02
 -8.89661666e+02  4.23903661e+02 -6.20635056e+02 -1.71384911e+02
 -8.90004285e+02  4.22125300e+02 -6.23232973e+02 -1.78349709e+02
 -8.90469968e+02  4.20060789e+02 -6.25802953e+02 -1.85251537e+02
 -8.91058228e+02  4.17711248e+02 -6.28343398e+02 -1.92086711e+02
 -8.91768515e+02  4.15077950e+02 -6.30852723e+02 -1.98851578e+02
 -8.92600211e+02  4.12162315e+02 -6.33329359e+02 -2.05542525e+02
 -8.93552634e+02  4.08965916e+02 -6.35771756e+02 -2.12155979e+02
 -8.94625038e+02  4.05490474e+02 -6.38178379e+02 -2.18688405e+02
 -8.95816612e+02  4.01737857e+02 -6.40547715e+02 -2.25136314e+02
 -8.97126480e+02  3.97710081e+02 -6.42878266e+02 -2.31496261e+02
 -8.98553705e+02  3.93409309e+02 -6.45168559e+02 -2.37764846e+02
 -9.00097286e+02  3.88837848e+02 -6.47417139e+02 -2.43938719e+02
 -9.01756158e+02  3.83998149e+02 -6.49622573e+02 -2.50014580e+02
 -9.03529198e+02  3.78892803e+02 -6.51783453e+02 -2.55989182e+02
 -9.05415217e+02  3.73524546e+02 -6.53898391e+02 -2.61859328e+02
 -9.07412970e+02  3.67896250e+02 -6.55966025e+02 -2.67621880e+02
 -9.09521148e+02  3.62010928e+02 -6.57985017e+02 -2.73273757e+02
 -9.11738386e+02  3.55871728e+02 -6.59954056e+02 -2.78811934e+02
 -9.14063260e+02  3.49481931e+02 -6.61871855e+02 -2.84233449e+02
 -9.16494286e+02  3.42844954e+02 -6.63737155e+02 -2.89535400e+02
 -9.19029925e+02  3.35964344e+02 -6.65548724e+02 -2.94714949e+02
 -9.21668581e+02  3.28843777e+02 -6.67305359e+02 -2.99769324e+02
 -9.24408604e+02  3.21487056e+02 -6.69005885e+02 -3.04695817e+02
 -9.27248289e+02  3.13898111e+02 -6.70649158e+02 -3.09491791e+02
 -9.30185875e+02  3.06080993e+02 -6.72234061e+02 -3.14154674e+02
 -9.33219553e+02  2.98039875e+02 -6.73759511e+02 -3.18681969e+02
 -9.36347459e+02  2.89779051e+02 -6.75224453e+02 -3.23071248e+02
 -9.39567680e+02  2.81302929e+02 -6.76627868e+02 -3.27320157e+02
 -9.42878251e+02  2.72616031e+02 -6.77968764e+02 -3.31426416e+02
 -9.46277162e+02  2.63722994e+02 -6.79246187e+02 -3.35387822e+02
 -9.49762353e+02  2.54628560e+02 -6.80459212e+02 -3.39202248e+02
 -9.53331718e+02  2.45337582e+02 -6.81606951e+02 -3.42867644e+02
 -9.56983107e+02  2.35855015e+02 -6.82688549e+02 -3.46382041e+02
 -9.60714323e+02  2.26185916e+02 -6.83703186e+02 -3.49743547e+02
 -9.64523129e+02  2.16335442e+02 -6.84650077e+02 -3.52950355e+02
 -9.68407245e+02  2.06308845e+02 -6.85528471e+02 -3.56000737e+02
 -9.72364350e+02  1.96111472e+02 -6.86337658e+02 -3.58893049e+02
 -9.76392084e+02  1.85748758e+02 -6.87076958e+02 -3.61625731e+02
 -9.80488050e+02  1.75226230e+02 -6.87745733e+02 -3.64197307e+02
 -9.84649812e+02  1.64549495e+02 -6.88343378e+02 -3.66606388e+02
 -9.88874900e+02  1.53724246e+02 -6.88869329e+02 -3.68851670e+02
 -9.93160809e+02  1.42756252e+02 -6.89323058e+02 -3.70931934e+02
 -9.97505002e+02  1.31651360e+02 -6.89704074e+02 -3.72846052e+02
 -1.00190491e+03  1.20415488e+02 -6.90011926e+02 -3.74592982e+02
 -1.00635793e+03  1.09054623e+02 -6.90246201e+02 -3.76171772e+02
 -1.01086144e+03  9.75748212e+01 -6.90406524e+02 -3.77581557e+02
 -1.01541278e+03  8.59821996e+01 -6.90492560e+02 -3.78821564e+02
 -1.02000927e+03  7.42829358e+01 -6.90504011e+02 -3.79891108e+02
 -1.02464821e+03  6.24832641e+01 -6.90440622e+02 -3.80789597e+02
 -1.02932686e+03  5.05894719e+01 -6.90302174e+02 -3.81516526e+02
 -1.03404247e+03  3.86078969e+01 -6.90088488e+02 -3.82071485e+02
 -1.03879227e+03  2.65449233e+01 -6.89799427e+02 -3.82454152e+02
 -1.04357348e+03  1.44069783e+01 -6.89434890e+02 -3.82664297e+02
 -1.04838328e+03  2.20052943e+00 -6.88994818e+02 -3.82701784e+02
 -1.05321886e+03 -1.00679198e+01 -6.88479193e+02 -3.82566566e+02
 -1.05807736e+03 -2.23918326e+01 -6.87888034e+02 -3.82258687e+02
 -1.06295596e+03 -3.47646431e+01 -6.87221400e+02 -3.81778286e+02
 -1.06785177e+03 -4.71797589e+01 -6.86479392e+02 -3.81125589e+02
 -1.07276194e+03 -5.96305656e+01 -6.85662148e+02 -3.80300917e+02
 -1.07768357e+03 -7.21104294e+01 -6.84769849e+02 -3.79304680e+02
 -1.08261380e+03 -8.46127012e+01 -6.83802711e+02 -3.78137381e+02
 -1.08754971e+03 -9.71307201e+01 -6.82760993e+02 -3.76799612e+02
 -1.09248843e+03 -1.09657816e+02 -6.81644992e+02 -3.75292056e+02
 -1.09742704e+03 -1.22187316e+02 -6.80455044e+02 -3.73615486e+02
 -1.10236266e+03 -1.34712543e+02 -6.79191524e+02 -3.71770764e+02
 -1.10729239e+03 -1.47226824e+02 -6.77854846e+02 -3.69758842e+02
 -1.11221333e+03 -1.59723491e+02 -6.76445461e+02 -3.67580761e+02
 -1.11712259e+03 -1.72195885e+02 -6.74963861e+02 -3.65237649e+02
 -1.12201729e+03 -1.84637362e+02 -6.73410573e+02 -3.62730722e+02
 -1.12689455e+03 -1.97041291e+02 -6.71786165e+02 -3.60061283e+02
 -1.13175149e+03 -2.09401063e+02 -6.70091240e+02 -3.57230722e+02
 -1.13658528e+03 -2.21710093e+02 -6.68326437e+02 -3.54240513e+02
 -1.14139304e+03 -2.33961820e+02 -6.66492436e+02 -3.51092214e+02
 -1.14617195e+03 -2.46149716e+02 -6.64589949e+02 -3.47787470e+02
 -1.15091920e+03 -2.58267285e+02 -6.62619727e+02 -3.44328005e+02
 -1.15563197e+03 -2.70308070e+02 -6.60582555e+02 -3.40715629e+02
 -1.16030749e+03 -2.82265654e+02 -6.58479254e+02 -3.36952230e+02
 -1.16494298e+03 -2.94133663e+02 -6.56310678e+02 -3.33039777e+02
 -1.16953570e+03 -3.05905771e+02 -6.54077719e+02 -3.28980319e+02
 -1.17408293e+03 -3.17575704e+02 -6.51781300e+02 -3.24775981e+02
 -1.17858196e+03 -3.29137241e+02 -6.49422377e+02 -3.20428968e+02
 -1.18303012e+03 -3.40584219e+02 -6.47001941e+02 -3.15941557e+02
 -1.18742477e+03 -3.51910534e+02 -6.44521013e+02 -3.11316101e+02
 -1.19176327e+03 -3.63110149e+02 -6.41980648e+02 -3.06555027e+02
 -1.19604305e+03 -3.74177091e+02 -6.39381931e+02 -3.01660834e+02
 -1.20026152e+03 -3.85105459e+02 -6.36725977e+02 -2.96636089e+02
 -1.20441618e+03 -3.95889427e+02 -6.34013932e+02 -2.91483431e+02
 -1.20850452e+03 -4.06523241e+02 -6.31246973e+02 -2.86205567e+02
 -1.21252407e+03 -4.17001231e+02 -6.28426302e+02 -2.80805267e+02
 -1.21647242e+03 -4.27317808e+02 -6.25553152e+02 -2.75285369e+02
 -1.22034717e+03 -4.37467468e+02 -6.22628783e+02 -2.69648774e+02
 -1.22414597e+03 -4.47444796e+02 -6.19654482e+02 -2.63898444e+02
 -1.22786652e+03 -4.57244468e+02 -6.16631562e+02 -2.58037402e+02
 -1.23150654e+03 -4.66861256e+02 -6.13561360e+02 -2.52068729e+02
 -1.23506380e+03 -4.76290025e+02 -6.10445241e+02 -2.45995565e+02
 -1.23853613e+03 -4.85525745e+02 -6.07284591e+02 -2.39821102e+02
 -1.24192137e+03 -4.94563483e+02 -6.04080821e+02 -2.33548588e+02
 -1.24521744e+03 -5.03398414e+02 -6.00835364e+02 -2.27181324e+02
 -1.24842229e+03 -5.12025821e+02 -5.97549674e+02 -2.20722658e+02
 -1.25153392e+03 -5.20441096e+02 -5.94225229e+02 -2.14175989e+02
 -1.25455037e+03 -5.28639742e+02 -5.90863523e+02 -2.07544762e+02
 -1.25746975e+03 -5.36617379e+02 -5.87466073e+02 -2.00832467e+02
 -1.26029020e+03 -5.44369744e+02 -5.84034414e+02 -1.94042636e+02
 -1.26300993e+03 -5.51892692e+02 -5.80570096e+02 -1.87178844e+02
 -1.26562719e+03 -5.59182201e+02 -5.77074690e+02 -1.80244703e+02
 -1.26814029e+03 -5.66234373e+02 -5.73549780e+02 -1.73243864e+02
 -1.27054758e+03 -5.73045434e+02 -5.69996968e+02 -1.66180012e+02
 -1.27284750e+03 -5.79611739e+02 -5.66417868e+02 -1.59056866e+02
 -1.27503851e+03 -5.85929774e+02 -5.62814110e+02 -1.51878177e+02
 -1.27711915e+03 -5.91996154e+02 -5.59187335e+02 -1.44647725e+02
 -1.27908800e+03 -5.97807630e+02 -5.55539197e+02 -1.37369317e+02
 -1.28094371e+03 -6.03361087e+02 -5.51871360e+02 -1.30046786e+02
 -1.28268499e+03 -6.08653545e+02 -5.48185499e+02 -1.22683988e+02
 -1.28431061e+03 -6.13682166e+02 -5.44483298e+02 -1.15284800e+02
 -1.28581940e+03 -6.18444250e+02 -5.40766450e+02 -1.07853120e+02
 -1.28721024e+03 -6.22937238e+02 -5.37036654e+02 -1.00392860e+02
 -1.28848209e+03 -6.27158713e+02 -5.33295616e+02 -9.29079509e+01
